county,state,None,D0,D1,D2,D3,D4,blueVoter,redVoter,target
Burke County,GA,47.6,52.4,15.2,0.6,0,0,5403,4298,0
Burke County,NC,76.5,23.5,16.7,5.2,0,0,13577,22109,1
Burke County,ND,38.6,61.4,42.7,8.1,0.5,0,230,766,1
Burleigh County,ND,57.5,42.5,21.6,7.2,4,0,14036,27811,1
Burleson County,TX,75.3,24.8,5.3,0.1,0,0,1705,4671,1
Burlington County,NJ,82.2,17.8,9.4,0,0,0,115951,79110,0
Burnet County,TX,64.8,35.2,19.3,4.5,0,0,3672,12828,1
Burnett County,WI,97.5,2.5,0,0,0,0,3981,4541,1
Burt County,NE,90.5,9.5,0,0,0,0,1280,2016,1
Butler County,AL,67.5,32.5,16.7,4.8,2.9,0,4367,5081,1
Butler County,IA,93.7,6.3,0,0,0,0,3321,4104,1
Butler County,KS,66.1,33.9,20.7,9.6,0.9,0,7124,17764,1
Butler County,KY,91.7,8.3,5.1,3.2,0,0,1293,3716,1
Butler County,MO,64.8,35.2,20.1,7.8,0,0,4363,12248,1
Butler County,NE,87.4,12.6,0,0,0,0,1028,2729,1
Butler County,OH,95.5,4.5,0,0,0,0,59282,102226,1
Butler County,PA,95.1,4.9,0,0,0,0,28385,59416,1
Butte County,CA,61.8,38.2,15.5,0,0,0,32567,35312,1
Butte County,ID,76.4,23.5,0.5,0,0,0,258,1001,1
Butte County,SD,43.6,56.4,46.5,12.1,0.8,0,1000,3068,1
Butts County,GA,56.8,43.2,22.4,14.1,10,6.4,2966,6306,1
Cabarrus County,NC,70.6,29.4,8.9,0,0,0,32453,49125,1
Cabell County,WV,94.3,5.7,0,0,0,0,13380,17779,1
Cache County,UT,49.6,50.4,25.7,11.8,1,0,5434,30818,1
Caddo County,OK,51.9,48.1,31.7,15.5,7,0,3151,5660,1
Caddo Parish,LA,54.3,45.7,31.1,13,2.1,0,57879,52378,0
Calaveras County,CA,70.6,29.4,15.4,13.8,9.4,0,7404,10537,1
Calcasieu Parish,LA,78.1,21.9,5.3,1.2,0,0,28357,51844,1
Caldwell County,KY,92.1,7.9,4.6,2.5,0,0,1852,3904,1
Caldwell County,MO,59.7,40.3,21.3,12,5.2,2.1,1313,2724,1
Caldwell County,NC,76.6,23.4,16.1,2.8,0,0,10795,23069,1
Caldwell County,TX,61.3,38.7,16.6,1.9,0,0,4787,6018,1
Caldwell Parish,LA,61.1,38.9,18.3,10.9,1.3,0,1016,3640,1
Caledonia County,VT,71.2,28.8,5,0,0,0,8192,5088,0
Calhoun County,AL,58,42,30.2,19.3,9.9,7.4,15500,30272,1
Calhoun County,AR,73.5,26.5,16.5,3.9,1.2,0,660,1458,1
Calhoun County,FL,68.2,31.8,15.5,4.4,0,0,1664,4366,1
Calhoun County,GA,56.6,43.4,20.6,5.8,1.9,0,1297,883,0
Calhoun County,IA,90.9,9.1,5.6,0.3,0,0,2232,2890,1
Calhoun County,IL,60.4,39.6,16.9,4.9,0,0,1079,1439,1
Calhoun County,MI,84.5,15.5,3.3,0,0,0,29270,28338,0
Calhoun County,MS,63.5,36.5,15.9,6.2,2.3,0,2250,3961,1
Calhoun County,SC,68.8,31.2,3.6,0,0,0,4043,3705,0
Calhoun County,TX,71.7,28.3,14.3,2.3,0,0,2510,4145,1
Calhoun County,WV,97.1,2.9,0,0,0,0,801,1288,1
Callahan County,TX,71.8,28.2,7.3,1.2,0,0,751,4376,1
Callaway County,MO,60.4,39.6,17.2,3.4,0.2,0,6070,11742,1
Calloway County,KY,86.8,13.2,5.1,2.2,0,0,5314,9438,1
Calumet County,WI,97.4,2.6,0,0,0,0,11477,14519,1
Calvert County,MD,80.4,19.6,6.9,0,0,0,18963,22413,1
Camas County,ID,62.2,37.8,0.7,0,0,0,159,402,1
Cambria County,PA,95,5,0.6,0,0,0,23181,33464,1
Camden County,GA,58.5,41.5,13,5.1,1.4,0,6358,11318,1
Camden County,MO,59.9,40.1,6.6,0,0,0,6458,15089,1
Camden County,NC,85.2,14.8,0,0,0,0,1456,2995,1
Camden County,NJ,81.5,18.5,9.1,0,0,0,137795,63329,0
Cameron County,PA,84.1,15.9,7.5,1.4,0,0,677,1264,1
Cameron County,TX,42.8,57.2,18.1,2.5,0,0,49159,24955,0
Cameron Parish,LA,78.3,21.7,3.3,0.5,0,0,408,3260,1
Camp County,TX,55.5,44.5,29.6,12.3,0.5,0,1428,2878,1
Campbell County,KY,96.7,3.3,0.6,0,0,0,15080,24240,1
Campbell County,SD,57.4,42.6,30.3,10.8,2.1,0,153,616,1
Campbell County,TN,78.5,21.5,9.3,5.4,1.9,0,3327,8602,1
Campbell County,VA,65.6,34.4,9,0,0,0,7591,17687,1
Campbell County,WY,64.4,35.6,16.7,1.9,0,0,2163,14952,1
Canadian County,OK,49.3,50.7,33.4,13.2,1.6,0,10533,35615,1
Candler County,GA,57.3,42.7,13.6,0,0,0,1155,2344,1
Cannon County,TN,82.6,17.4,5.7,3.8,1.3,0,1560,3308,1
Canyon County,ID,37.9,62.1,18.1,3.7,0,0,19866,44369,1
Cape Girardeau County,MO,70.1,29.9,8,0,0,0,9713,25343,1
Cape May County,NJ,89.5,10.5,0,0,0,0,21275,25488,1
Carbon County,MT,86.5,13.5,6.6,3.4,0,0,2126,3513,1
Carbon County,PA,71.2,28.8,14.7,0,0,0,11040,12710,1
Carbon County,UT,35.1,64.9,46.4,33.1,10.2,0,2204,4834,1
Carbon County,WY,55.2,44.8,15.6,4.8,0,0,2109,4152,1
Caribou County,ID,67.8,32.2,5.5,0,0,0,385,2608,1
Carlisle County,KY,81.8,18.2,6.5,1.3,0,0,750,1835,1
Carlton County,MN,97.5,2.5,0,0,0,0,11389,6586,0
Caroline County,MD,87.6,12.4,1.3,0,0,0,4621,7674,1
Caroline County,VA,74.4,25.6,2.3,0,0,0,7258,6148,0
